Client Name,Total Assistance,Total Investment,Investment Gain,Investment Grade,Condition,Estimated Jobs,Country,SME,Ownership,Status,Constituency,Sector,Business Plan Grade,Average Grade,Jobs Created
Fairley's,4000,5000,1000.0,0.19999999999999996,Covid Support,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,False,False,False
Fane Valley Co-Operative Society Limited,497774,2158039,1660265.0,0.7693396643897539,Developing Skills,0,Northern Ireland,Non SME,Local,Local,LAGAN VALLEY,MANUFACTURING,False,True,False
Farm to Fork Meat Company Limited,12300,181000,168700.0,0.9320441988950277,Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,True,True,True
FarmCompare.com,7500,15000,7500.0,0.5,Other,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,INFORMATION AND COMMUNICATION,False,False,False
FarmCompare.com,985,1970,985.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,INFORMATION AND COMMUNICATION,False,False,False
FarmCompare.com,15000,15000,0.0,0,Other,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,INFORMATION AND COMMUNICATION,False,False,False
FarmCompare.com,4800,12000,7200.0,0.6,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,INFORMATION AND COMMUNICATION,False,True,False
FarmCompare.com,10000,10000,0.0,0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,INFORMATION AND COMMUNICATION,False,False,False
FarmFLiX,785,1570,785.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,INFORMATION AND COMMUNICATION,False,False,False
FarmFLiX,24000,232000,208000.0,0.896551724137931,Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,INFORMATION AND COMMUNICATION,True,True,True
FarmFLiX,5084,12850,7766.0,0.6043579766536965,Investing in R&D,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,INFORMATION AND COMMUNICATION,False,True,False
FarmFLiX,40123,70551,30428.0,0.4312908392510383,Investing in R&D,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,INFORMATION AND COMMUNICATION,False,False,False
FarmFLiX,845,1690,845.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,INFORMATION AND COMMUNICATION,False,False,False
FarmFLiX,4665,9330,4665.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,INFORMATION AND COMMUNICATION,False,False,False
FarmFLiX,1840,3680,1840.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,INFORMATION AND COMMUNICATION,False,False,False
FarmFLiX,1000,2000,1000.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,INFORMATION AND COMMUNICATION,False,False,False
FarmFLiX,36000,340760,304760.0,0.8943537973940603,Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,INFORMATION AND COMMUNICATION,True,True,True
Farrell Brothers Specialist Joinery,40000,40000,0.0,0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING,False,False,False
Farringford Foods,79500,324000,244500.0,0.7546296296296297,Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,SME,Local,Local,UPPER BANN,MANUFACTURING,False,True,True
Farringford Foods,3665,7330,3665.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,UPPER BANN,MANUFACTURING,False,False,False
Fashion Flair,2520,3150,630.0,0.19999999999999996,Covid Support,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,False,False,False
Fast Engineering Limited,4733,9465,4732.0,0.49994717379820386,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,MANUFACTURING,False,False,False
Fast Engineering Limited,8750,17500,8750.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,MANUFACTURING,False,False,False
Fast Engineering Limited,2126,8947,6821.0,0.7623784508773891,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,MANUFACTURING,False,True,False
Fast Engineering Limited,8250,16500,8250.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,MANUFACTURING,False,False,False
Fat Fish Marketing Limited,47600,392000,344400.0,0.8785714285714286,Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,INFORMATION AND COMMUNICATION,True,True,True
Fathom,1838,3750,1912.0,0.5098666666666667,Developing Skills,0,Northern Ireland,SME,Local,Local,BELFAST WEST,INFORMATION AND COMMUNICATION,False,False,False
Fathom,10000,24650,14650.0,0.5943204868154158,Developing Skills,0,Northern Ireland,SME,Local,Local,BELFAST WEST,INFORMATION AND COMMUNICATION,False,True,False
Fathom,32000,260000,228000.0,0.8769230769230769,Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,SME,Local,Local,BELFAST WEST,INFORMATION AND COMMUNICATION,True,True,True
Fathom,46721,272720,225999.0,0.8286850982692872,Developing Skills,0,Northern Ireland,SME,Local,Local,BELFAST WEST,INFORMATION AND COMMUNICATION,False,True,False
Favour,9062,26245,17183.0,0.6547151838445417,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,MANUFACTURING,False,True,False
Favour,99400,733000,633600.0,0.8643929058663029,Creating Jobs / Capital Investment / Business Development,9,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,MANUFACTURING,True,True,True
Feedwell Animal Foods Limited,7350,15000,7650.0,0.51,Developing Skills,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,False,False,False
Feedwell Animal Foods Limited,40000,100320,60320.0,0.6012759170653907,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,False,True,False
Feedwell Animal Foods Limited,810,1350,540.0,0.4,Developing Skills,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,False,False,False
Feedwell Animal Foods Limited,18000,105000,87000.0,0.8285714285714285,Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,False,True,True
Feedwell Animal Foods Limited,5460,13650,8190.0,0.6,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,False,True,False
